name;field;year_birth;year_prize;year_research_mid;year_death;TheoryOrTheoryAndEmpirical;age_highdegree
von Szent-Gyorgyi Nagyrapolt, Albert;Medicine;1893;1937;1928;1986;0;35
Heymans, Corneille;Medicine;1892;1938;1928;1968;0;28
Domagk, Gerhard;Medicine;1895;1939;1932;1964;0;26
Dam, Henrik;Medicine;1895;1943;1934;1976;0;39
Doisy, Edward A.;Medicine;1893;1943;1939;1986;0;27
Erlanger, Joseph;Medicine;1874;1944;1922;1965;0;25
Gasser, Herbert S.;Medicine;1888;1944;1922;1963;0;27
Chain, Ernst B.;Medicine;1906;1945;1940;1979;1;24
Fleming, Sir Alexander;Medicine;1881;1945;1928;1955;0;27
Florey, Sir Howard;Medicine;1898;1945;1940;1968;0;29
MullerH, Hermann J.;Medicine;1890;1946;1926;1967;0;26
CoriC, Carl;Medicine;1896;1947;1936;1984;0;24
CoriG, Gerty;Medicine;1896;1947;1936;1957;0;24
Houssay, Bernardo;Medicine;1887;1947;1933;1971;0;23
MullerP, Paul;Medicine;1899;1948;1939;1965;0;26
Moniz, Egas;Medicine;1874;1949;1936;1955;0;28
Hench, Philip S.;Medicine;1896;1950;1948;1965;0;24
Kendall, Edward C.;Medicine;1886;1950;1939;1972;0;24
Reichstein, Tadeus;Medicine;1897;1950;1937;1996;0;25
Theiler, Max;Medicine;1899;1951;1927;1972;0;23
Waksman, Selman A.;Medicine;1888;1952;1943;1973;0;30
KrebsH, Hans;Medicine;1900;1953;1937;1981;1;25
Lipmann, Fritz;Medicine;1899;1953;1946;1986;0;25
Enders, John F.;Medicine;1897;1954;1949;1985;0;33
Robbins, Frederick;Medicine;1916;1954;1949;2003;0;24
Weller, Thomas H.;Medicine;1915;1954;1949;;0;25
Theorell, Hugo;Medicine;1903;1955;1939;1982;1;27
Cournand, Andre F.;Medicine;1895;1956;1941;1988;0;35
Forssmann, Werner;Medicine;1904;1956;1929;1979;0;25
Richards, Dickinson W.;Medicine;1895;1956;1941;1973;0;28
Bovet, Daniel;Medicine;1907;1957;1948;1992;0;22
Beadle, George;Medicine;1903;1958;1941;1989;0;28
Lederberg, Joshua;Medicine;1925;1958;1945;;0;22
Tatum, Edward;Medicine;1909;1958;1941;1975;0;25
Kornberg, Arthur;Medicine;1918;1959;1956;;0;23
Ochoa, Severo;Medicine;1905;1959;1955;1993;0;24
Burnet, Sir Frank Macfarlane;Medicine;1899;1960;1947;1985;1;29
Medawar, Peter;Medicine;1915;1960;1947;1987;0;20
von Bekesy, Georg;Medicine;1899;1961;1928;1972;0;24
Crick, Francis;Medicine;1916;1962;1953;;1;38
Watson, James;Medicine;1928;1962;1953;;1;22
Wilkins, Maurice;Medicine;1916;1962;1953;;0;24
Eccles, John;Medicine;1903;1963;1951;1997;0;26
Hodgkin, Alan L.;Medicine;1914;1963;1948;1998;0;21
Huxley, Andrew F.;Medicine;1917;1963;1948;;0;22
Bloch, Konrad;Medicine;1912;1964;1942;2000;0;26
Lynen, Feodor;Medicine;1911;1964;1951;1979;0;26
Jacob, Francois;Medicine;1920;1965;1958;;0;27
Lwoff, Andre;Medicine;1902;1965;1953;1994;0;25
Monod, Jacques;Medicine;1910;1965;1958;1976;0;31
Huggins, Charles B.;Medicine;1901;1966;1941;1997;0;23
Rous, Peyton;Medicine;1879;1966;1934;1970;0;26
Granit, Ragnar;Medicine;1900;1967;1937;1991;0;27
Hartline, Haldan K.;Medicine;1903;1967;1938;1983;0;24
Wald, George;Medicine;1906;1967;1935;1997;0;26
Holley, Robert W.;Medicine;1922;1968;1965;1993;0;25
Khorana, H. Gobind;Medicine;1922;1968;1956;;0;26
Nirenberg, Marshall W.;Medicine;1927;1968;1962;;0;30
Delbruck, Max;Medicine;1906;1969;1942;1981;1;23
Hershey, Alfred D.;Medicine;1908;1969;1946;;0;26
Luria, Salvador E.;Medicine;1912;1969;1946;1991;1;23
Axelrod, Julius;Medicine;1912;1970;1961;;0;43
Katz, Bernard S.;Medicine;1911;1970;1954;2003;0;23
von Euler, Ulf;Medicine;1905;1970;1958;1983;0;25
Sutherland, Earl W. Jr.;Medicine;1915;1971;1954;1974;0;27
Edelman, Gerard M.;Medicine;1929;1972;1960;;0;25
Porter, Rodney R.;Medicine;1917;1972;1959;1985;0;31
Lorenz, Konrad;Medicine;1903;1973;1938;1989;0;25
Tinbergen, Nikolaas;Medicine;1907;1973;1951;1988;0;25
von Frisch, Karl;Medicine;1886;1973;1915;1982;0;24
Claude, Albert;Medicine;1899;1974;1945;1983;0;29
Palade, George E.;Medicine;1912;1974;1952;;0;28
de Duve, Chrisian;Medicine;1917;1974;1949;;0;24
Baltimore, David;Medicine;1938;1975;1970;;0;26
Dulbecco, Renato;Medicine;1914;1975;1959;;0;22
Temin, Howard M.;Medicine;1934;1975;1970;1994;1;25
Blumberg, Baruch;Medicine;1925;1976;1969;;0;32
Gajdusek, D. Carleton;Medicine;1923;1976;1955;;0;23
Guillemin, Roger;Medicine;1924;1977;1969;;0;25
Schally, Andrew V.;Medicine;1926;1977;1969;;0;31
Yalow, Rosalyn;Medicine;1921;1977;1959;;0;24
Arber, Werner;Medicine;1929;1978;1961;;1;29
Nathans, Daniel;Medicine;1928;1978;1972;1999;0;26
Smith, Hamilton O.;Medicine;1931;1978;1967;;0;23
Cormack, Allan;Medicine;1924;1979;1963;1998;0;25
Hounsfield, Godfrey;Medicine;1919;1979;1971;;0;32
Benacerraf, Baruj;Medicine;1920;1980;1961;;0;25
Dausset, Jean;Medicine;1916;1980;1965;;0;24
Snell, George D.;Medicine;1903;1980;1951;1996;0;27
Hubel, David H.;Medicine;1926;1981;1959;;0;27
Sperry, Roger W.;Medicine;1913;1981;1962;1994;0;28
Wiesel, Torsten N.;Medicine;1924;1981;1959;;0;30
Bergstrom, Sune K.;Medicine;1916;1982;1962;;0;26
Samuelsson, Bengt;Medicine;1934;1982;1962;;0;26
Vane, John R.;Medicine;1927;1982;1971;;0;26
McClintock, Barbara;Medicine;1902;1983;1950;1992;0;25
Jerne, Niels K.;Medicine;1911;1984;1964;1994;1;40
Kohler, Georges J. F.;Medicine;1946;1984;1975;1995;0;28
Milstein, Cesar;Medicine;1927;1984;1975;2002;0;30
Brown, Michael S.;Medicine;1941;1985;1973;;0;25
Goldstein, Joseph L.;Medicine;1940;1985;1973;;0;26
Cohen, Stanely;Medicine;1922;1986;1953;;0;26
Levi-Montalcini, Rita;Medicine;1909;1986;1953;;0;27
Tonegawa, Susumu;Medicine;1939;1987;1976;;0;29
Black, Sir James W.;Medicine;1924;1988;1964;;0;22
Elion, Gertrude;Medicine;1918;1988;1952;1999;0;23
Hitchings, George;Medicine;1905;1988;1952;1998;0;28
Bishop, J. Michael;Medicine;1936;1989;1975;;0;26
Varmus, Harold E.;Medicine;1939;1989;1975;;0;29
Murray, Joseph E.;Medicine;1919;1990;1954;;0;24
Thomas, E. Donnall;Medicine;1920;1990;1956;;0;26
Neher, Erwin;Medicine;1944;1991;1976;;0;26
Sakmann, Bert;Medicine;1942;1991;1976;;0;32
Fischer, Edmond H.;Medicine;1920;1992;1955;;0;27
KrebsE, Edwin G.;Medicine;1918;1992;1955;;0;25
Roberts, Richard J.;Medicine;1943;1993;1977;;0;26
Sharp, Phillip A.;Medicine;1944;1993;1977;;0;25
Gilman, Alfred G.;Medicine;1941;1994;1980;;0;28
Rodbell, Martin;Medicine;1925;1994;1970;1998;0;29
Lewis, Edward B.;Medicine;1918;1995;1978;;0;24
Nusslein-Volhard, Christiane;Medicine;1942;1995;1978;;0;31
Wieschaus, Eric F.;Medicine;1947;1995;1978;;0;27
Doherty, Peter C.;Medicine;1940;1996;1974;;0;30
Zinkernagel, Rolf M.;Medicine;1944;1996;1974;;0;31
Prusiner, Stanley B.;Medicine;1942;1997;1982;;0;26
Furchgott, Robert F.;Medicine;1916;1998;1980;;0;24
Ignarro, Louis J.;Medicine;1941;1998;1977;;0;25
Murad, Ferid;Medicine;1936;1998;1977;;0;29
Blobel, Gunter;Medicine;1936;1999;1972;;0;30
Carlsson, Arvid;Medicine;1923;2000;1948;;0;28
Greengard, Paul;Medicine;1925;2000;1969;;0;28
Kandel, Eric R.;Medicine;1929;2000;1981;;0;27
Hartwell, Leland H.;Medicine;1939;2001;1970;;0;25
Hunt, R. Timothy;Medicine;1943;2001;1982;;0;25
Nurse, Sir Paul;Medicine;1949;2001;1981;;0;24
Brenner, Sydney;Medicine;1927;2002;1974;;0;27
Horvitz, H. Robert;Medicine;1947;2002;1986;;0;27
Sulston, John E.;Medicine;1942;2002;1976;;0;24
Lauterbur, Paul G.;Medicine;1929;2003;1973;;1;33
Axel, Richard;Medicine;1946;2004;1991;;0;24
Buck, Linda;Medicine;1947;2004;1991;;0;33
Marshall, Barry;Medicine;1951;2005;1984;;0;23
Warren, J. Robin;Medicine;1937;2005;1984;;0;24
Fire, Andrew;Medicine;1959;2006;1998;;0;24
Mello, Craig;Medicine;1960;2006;1998;;0;30
Capecchi, Mario;Medicine;1937;2007;1987;;0;30
Evans, Sir Martin;Medicine;1941;2007;1981;;0;28
Smithies, Oliver;Medicine;1925;2007;1985;;0;26
Barre-Sinoussi, Francoise;Medicine;1947;2008;1983;;0;28
Hausen, Harald zur;Medicine;1936;2008;1983;;0;24
Montagnier, Luc;Medicine;1932;2008;1983;;0;28
Rontgen, Wilhelm Conrad;Physics;1845;1901;1895;1923;0;24
Lorentz, Hendrik Antoon;Physics;1853;1902;1892;1928;1;22
Zeeman, Pieter;Physics;1865;1902;1896;1943;0;28
Becquerel, Antoine Henri;Physics;1852;1903;1896;1908;0;25
Curie, Marie;Physics;1867;1903;1898;1934;0;26
Curie, Pierre;Physics;1859;1903;1898;1906;0;36
Strutt, John William;Physics;1842;1904;1894;1919;0;23
Von Lenard, Philipp;Physics;1862;1905;1892;1947;0;24
Thomson, Joseph John;Physics;1856;1906;1897;1940;0;24
Michelson, Albert Abraham;Physics;1852;1907;1887;1931;0;21
Lippmann, Gabriel;Physics;1845;1908;1891;1921;0;30
Braun, Karl Ferdinand;Physics;1850;1909;1899;1918;0;22
Marconi, Guglielmo;Physics;1874;1909;1896;1937;0;21
Van der Waals, Johannes Diderik;Physics;1837;1910;1880;1923;1;36
Wien, Wilhelm;Physics;1864;1911;1893;1928;1;22
Dalen, Nils Gustaf;Physics;1869;1912;1907;1937;0;27
Onnes, Heike Kamerlingh;Physics;1853;1913;1909;1926;0;26
Laue, Max;Physics;1879;1914;1912;1960;1;24
Bragg, William Henry;Physics;1862;1915;1912;1971;0;22
Bragg, William Lawrence;Physics;1890;1915;1912;1942;0;22
Barkla, Charles Glover;Physics;1877;1917;1906;1944;0;27
Planck, Max Karl Ernst Ludwig;Physics;1858;1918;1900;1947;1;21
Stark, Johannes;Physics;1874;1919;1905;1957;0;23
Guillaume, Charles-Edouard;Physics;1861;1920;1897;1938;0;22
Einstein, Albert;Physics;1879;1921;1905;1955;1;26
Bohr, Niels Henrik David;Physics;1885;1922;1913;1962;1;26
Millikan, Robert Andrews;Physics;1868;1923;1910;1953;0;27
Siegbahn, Karl Manne Georg;Physics;1886;1924;1916;1978;0;25
Franck, James;Physics;1882;1925;1913;1964;0;24
Hertz, Gustav Ludwig;Physics;1887;1925;1913;1975;0;24
Perrin, Jean Baptiste;Physics;1870;1926;1909;1942;0;27
Compton, Arthur Holly;Physics;1892;1927;1923;1962;0;24
Wilson, Charles Thomson Rees;Physics;1869;1927;1911;1959;0;23
Richardson, Owen Willans;Physics;1879;1928;1901;1959;1;25
de Broglie, Prince Louis-Victor;Physics;1892;1929;1924;1987;1;32
Raman, Chandrasekhara Venkata;Physics;1888;1930;1928;1970;0;19
Heisenberg, Werner;Physics;1901;1932;1925;1976;1;22
Dirac, Paul Adrien Maurice;Physics;1902;1933;1928;1984;1;24
Schrodinger, Erwin;Physics;1887;1933;1926;1961;1;23
Chadwick, James;Physics;1891;1935;1932;1974;0;22
Anderson, Carl David;Physics;1905;1936;1932;1991;0;25
Hess, Victor;Physics;1883;1936;1912;1964;0;23
Davisson, Clinton Joseph;Physics;1881;1937;1926;1958;0;30
Thomson, George Paget;Physics;1892;1937;1927;1975;0;22
Fermi, Enrico;Physics;1901;1938;1934;1954;1;21
Lawrence, Ernest Orlando;Physics;1901;1939;1931;1958;0;24
Stern, Otto;Physics;1888;1943;1922;1969;0;24
Rabi, Isidor Isaac;Physics;1898;1944;1937;1988;0;29
Pauli, Wolfgang;Physics;1900;1945;1925;1958;1;21
Bridgman, Percy Williams;Physics;1882;1946;1909;1961;0;26
Appleton, Edward Victor;Physics;1892;1947;1926;1965;0;21
Blackett, Patrick Maynard Stuart;Physics;1897;1948;1934;1974;0;26
Yukawa, Hideki;Physics;1907;1949;1934;1981;1;22
Powell, Cecil Frank;Physics;1903;1950;1946;1969;0;24
Cockcroft, John Douglas;Physics;1897;1951;1932;1967;0;31
Walton, Ernest Thomas Sinton;Physics;1903;1951;1932;1995;0;28
Bloch, Felix;Physics;1905;1952;1946;1983;1;23
Purcell, Edward Mills;Physics;1912;1952;1948;;0;26
Zernike, Frits;Physics;1888;1953;1934;1966;0;27
Born, Max;Physics;1882;1954;1925;1970;1;25
Bothe, Walther;Physics;1891;1954;1924;1957;0;23
Kusch, Polykarp;Physics;1911;1955;1947;1993;0;25
Lamb, Willis E.;Physics;1913;1955;1947;;0;25
Bardeen, John;Physics;1908;1956;1947;1991;1;28
Brattain, Walter H.;Physics;1902;1956;1947;1987;0;27
Shockley, William;Physics;1910;1956;1945;1989;0;26
Lee, Tsung-Dao;Physics;1926;1957;1956;;1;24
Yang, Chen Ning;Physics;1922;1957;1956;;1;26
Cherenkov, Pavel Alekseyevich;Physics;1904;1958;1934;;0;24
Frank, Il'ja Mikhailovich;Physics;1908;1958;1937;1990;1;27
Tamm, Igor Yevgenyevich;Physics;1895;1958;1937;1971;1;38
Chamberlain, Owen;Physics;1920;1959;1955;;0;29
Segre, Emilio;Physics;1905;1959;1955;1989;0;23
Glaser, Donald Arthur;Physics;1926;1960;1952;;0;24
Hofstadter, Robert;Physics;1915;1961;1956;1990;0;23
Mossbauer, Rudolf Ludwig;Physics;1929;1961;1958;;0;29
Landau, Lev Davidovic;Physics;1908;1962;1937;1968;1;26
Jensen, J. Hans D.;Physics;1907;1963;1949;1973;1;25
Mayer, Maria Goeppert;Physics;1906;1963;1949;1972;1;24
Wigner, Eugene Paul;Physics;1902;1963;1933;1995;1;23
Basov, Nikolay Gennadiyevich;Physics;1922;1964;1954;2001;0;34
Prokhorov, Aleksandr Mikhailovich;Physics;1916;1964;1954;2002;0;30
Townes, Charles Hard;Physics;1915;1964;1954;;0;24
Feynman, Richard P.;Physics;1918;1965;1948;1988;1;24
Schwinger, Julian;Physics;1918;1965;1948;1994;1;21
Tomonaga, Sin-Itiro;Physics;1906;1965;1948;1979;1;33
Kastler, Alfred;Physics;1902;1966;1950;1984;0;34
Bethe, Hans Albrecht;Physics;1906;1967;1938;;1;22
Alvarez, Luis W.;Physics;1911;1968;1955;1988;0;25
Gell-Mann, Murray;Physics;1929;1969;1962;;1;22
Alfven, Hannes Olof Gosta;Physics;1908;1970;1950;1995;1;26
Neel, Louis;Physics;1904;1970;1930;2000;1;28
Gabor, Dennis;Physics;1900;1971;1947;1979;0;27
Cooper, Leon;Physics;1930;1972;1957;;1;24
Schrieffer, John Robert;Physics;1931;1972;1957;;1;26
Esaki, Leo;Physics;1925;1973;1958;;0;34
Giaever, Ivar;Physics;1929;1973;1958;;0;23
Josephson, Brian D.;Physics;1940;1973;1962;;1;24
Hewish, Antony;Physics;1924;1974;1967;;0;28
Ryle, Martin;Physics;1918;1974;1962;1984;0;21
Bohr, Aage N.;Physics;1922;1975;1952;;1;24
Mottelson, Ben R.;Physics;1926;1975;1952;;1;24
